date,country,D,H,I,M,S
2021-06-29,Afghanistan,0,0,0,40,0
2021-06-29,Sweden,4,0,0,6,0
2021-06-29,Japan,14,0,0,110,0
2021-06-30,Afghanistan,0,0,0,40,0
2021-06-30,Sweden,4,0,0,6,0
2021-06-30,Japan,14,0,0,110,0
2021-07-01,Afghanistan,0,0,0,40,0
2021-07-01,Sweden,4,0,0,6,0
2021-07-01,Japan,14,0,0,110,0
2021-07-02,Afghanistan,0,0,0,40,0
2021-07-02,Sweden,4,0,0,6,0
2021-07-02,Japan,14,0,0,110,0
2021-07-03,Afghanistan,0,0,0,40,0
2021-07-03,Sweden,4,0,0,6,0
2021-07-03,Japan,14,0,0,110,0
2021-07-04,Afghanistan,0,0,0,40,0
2021-07-04,Sweden,4,0,0,6,0
2021-07-04,Japan,14,0,0,110,0
2021-07-05,Afghanistan,0,0,0,40,0
2021-07-05,Sweden,4,0,0,6,0
2021-07-05,Japan,14,0,0,110,0
2021-07-06,Afghanistan,0,0,0,40,0
2021-07-06,Sweden,4,0,0,6,0
2021-07-06,Japan,14,0,0,110,0
2021-07-07,Afghanistan,0,0,0,40,0
2021-07-07,Sweden,4,0,0,6,0
2021-07-07,Japan,14,0,0,110,0
2021-07-08,Afghanistan,0,0,0,40,0
2021-07-08,Sweden,4,0,0,6,0
2021-07-08,Japan,14,0,0,110,0
2021-07-09,Afghanistan,0,0,0,40,0
2021-07-09,Sweden,4,0,0,6,0
2021-07-09,Japan,14,0,0,110,0
2021-07-10,Afghanistan,0,0,0,40,0
2021-07-10,Sweden,4,0,0,6,0
2021-07-10,Japan,14,0,0,110,0
2021-07-11,Afghanistan,0,0,0,40,0
2021-07-11,Sweden,4,0,0,6,0
2021-07-11,Japan,14,0,0,110,0
2021-07-12,Afghanistan,0,0,0,40,0
2021-07-12,Sweden,4,0,0,6,0
2021-07-12,Japan,14,0,0,110,0
2021-07-13,Afghanistan,0,0,0,40,0
2021-07-13,Sweden,4,0,0,6,0
2021-07-13,Japan,14,0,0,110,0
2021-07-14,Afghanistan,0,0,0,40,0
2021-07-14,Sweden,4,0,0,6,0
2021-07-14,Japan,14,0,0,110,0
2021-07-15,Afghanistan,0,0,0,40,0
2021-07-15,Sweden,4,0,0,6,0
2021-07-15,Japan,14,0,0,110,0
2021-07-16,Afghanistan,0,0,0,40,0
2021-07-16,Sweden,4,0,0,6,0
2021-07-16,Japan,14,0,0,110,0
2021-07-17,Afghanistan,0,0,0,40,0
